"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"                        Netherlends ($)",,,,,,,,,,,,,,,,,,,,,,,,"13967000000","19393000000","26376000000","33778000000","38571000000","25507000000","23313000000","26653000000","28855000000","29622000000","32403000000","28847000000","24667000000","28351000000","26338000000","32601000000"
"                        UK ($)",,,,,,,,,,,,,,,,,,,,,,,,"67340000000","67856000000","100912000000","135607000000","151356000000","112814000000","72022000000","74454000000","83890000000","77680000000","77449000000","77015000000","64624000000","75692000000","83641000000","94104000000"
"                        Other EU ($)",,,,,,,,,,,,,,,,,,,,,,,,"4490000000","8023000000","9904000000","12502000000","14371000000","16650000000","10740000000","11827000000","12491000000","11856000000","13221000000","11260000000","10285000000","11229000000","14575000000","14240000000"
"                        Other euro area ($)",,,,,,,,,,,,,,,,,,,,,,,,"11822000000","13140000000","18351000000","25617000000","34538000000","31036000000","20436000000","20320000000","20511000000","23192000000","27801000000","37211000000","47749000000","49421000000","60912000000","58516000000"
"                        Europe excluding EU ($)",,,,,,,,,,,,,,,,,,,,,,,,"28708000000","32400000000","38437000000","44720000000","53829000000","67874000000","47421000000","44357000000","56657000000","56312000000","57074000000","65397000000","66648000000","70837000000","76209000000","66183000000"
"                Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,"89874000000","113237000000","141754000000","183574000000","218175000000","200415000000","143884000000","139750000000","142236000000","151482000000","162939000000","175271000000","185019000000","196181000000","205578000000","228834000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,"656000000","748000000","1027000000","1126000000","1194000000","996000000","661000000","678000000","773000000","679000000","770000000","472000000","576000000","624000000","821000000","981000000"
"                        Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,"1447000000","1853000000","2696000000","4030000000","7150000000","8432000000","5501000000","5381000000","6620000000","6908000000","6689000000","7073000000","6670000000","6565000000","6626000000","7762000000"
"                        Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,"22064000000","21865000000","26050000000","29556000000","31199000000","32084000000","27408000000","27878000000","29573000000","29063000000","30101000000","30060000000","30288000000","30698000000","31781000000","33575000000"
"                        Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,"1133000000","1728000000","2396000000","2352000000","2660000000","1954000000","218000000","310000000","1134000000","1682000000","1365000000","1409000000","1314000000","678000000","882000000","1349000000"
"                        Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,"12737000000","14911000000","16771000000","19413000000","20771000000","23887000000","18189000000","17486000000","17300000000","18035000000","18323000000","25942000000","27456000000","28377000000","29576000000","31215000000"
"                        Other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,"51838000000","72131000000","92815000000","127097000000","155201000000","133063000000","91907000000","88017000000","86836000000","95115000000","105691000000","110314000000","118715000000","129239000000","135892000000","153951000000"
"                Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,"6458000000","8970000000","10139000000","9369000000","11431000000","18493000000","19201000000","19694000000","21471000000","21775000000","21796000000","18582000000","20608000000","18907000000","19868000000","23661000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        South Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,"419000000","772000000","1138000000","1260000000","1111000000","1163000000","1283000000","1175000000","1403000000","1142000000","1003000000","1633000000","1500000000","1275000000","1512000000","1767000000"
"                        Other Africa ($)",,,,,,,,,,,,,,,,,,,,,,,,"6038000000","8199000000","9001000000","8109000000","10321000000","17332000000","17919000000","18519000000","20068000000","20633000000","20792000000","16949000000","19108000000","17632000000","18356000000","21894000000"
"                Middle East ($)",,,,,,,,,,,,,,,,,,,,,,,,"15256000000","16251000000","23855000000","24617000000","27935000000","28682000000","23963000000","20916000000","21270000000","22821000000","23169000000","25308000000","25544000000","27788000000","28101000000","32048000000"
"                Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,"77340000000","100445000000","127531000000","161686000000","190512000000","177882000000","170706000000","182444000000","188508000000","187702000000","191903000000","195775000000","195323000000","196403000000","216188000000","237096000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,"3728000000","5649000000","8237000000","10620000000","11764000000","9146000000","6648000000","9759000000","10792000000","7136000000","8739000000","10357000000","9351000000","9688000000","11476000000","15531000000"
"                        China ($)",,,,,,,,,,,,,,,,,,,,,,,,"12288000000","15625000000","23834000000","35260000000","47658000000","54190000000","52212000000","50450000000","46687000000","42058000000","42667000000","43694000000","43105000000","39321000000","39830000000","42834000000"
"                        Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,"3001000000","3100000000","4187000000","5811000000","7496000000","7285000000","7528000000","7860000000","7690000000","5357000000","5334000000","5514000000","5938000000","6882000000","7506000000","9899000000"
"                        India ($)",,,,,,,,,,,,,,,,,,,,,,,,"2098000000","2626000000","3405000000","3826000000","4897000000","4095000000","7990000000","8262000000","8467000000","9517000000","10113000000","11739000000","13007000000","14683000000","16328000000","17560000000"
"                        Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,"35781000000","48901000000","55953000000","66445000000","70551000000","61606000000","51177000000","58901000000","60768000000","64779000000","64819000000","65263000000","61856000000","63560000000","74905000000","80602000000"
"                        Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,"4129000000","5040000000","6460000000","8333000000","9576000000","7418000000","6675000000","7800000000","8362000000","9673000000","10411000000","10088000000","9953000000","10910000000","11511000000","13076000000"
"                        Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,"3056000000","3675000000","4538000000","5952000000","7040000000","2756000000","5596000000","5282000000","6995000000","7187000000","8163000000","8663000000","9113000000","8447000000","8720000000","9711000000"
"                        Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,"4531000000","5736000000","6838000000","7973000000","7975000000","7981000000","8003000000","8677000000","8951000000","13106000000","13737000000","14227000000","16209000000","17025000000","18619000000","20063000000"
"                        Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,"8727000000","10095000000","14082000000","17467000000","23557000000","23403000000","24876000000","25452000000","29796000000","28889000000","27920000000","26230000000","26793000000","25887000000","27293000000","27820000000"
"                International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,"28738000000","28169000000","28696000000","29175000000","33958000000","34520000000","37672000000","36255000000","35623000000","36770000000","42620000000","40354000000","43243000000","50302000000","51868000000","58617000000"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Bureau of Economic Analysis","International Trade in Goods and Services",,"https://www.bea.gov/data/intl-trade-investment/international-trade-goods-and-services",,"2020","Yearly"
"Exported on: 06/13/2021"
